"Site","Year","Season","Diam","Occupant","Note","N","survival","GIG","OBT","MC","ELD","BP","Host.plant","Site_name","State","Country","Latitude","longitude","Confidence","Collector","collection.notes"
"AAM",2024,"Spring",17,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"CK",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",11,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",12,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"CK",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",16,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"EU",NA,1,1,0,0,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",16,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",15,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",15,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",17,"OBT",NA,1,0,0,1,0,0,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",15,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",16,"WP",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",16,"CK",NA,1,0,0,0,0,0,1,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
"AAM",2024,"Spring",15,"ELD",NA,1,0,0,0,0,1,0,"S. altissima","galldata_entry_AAM_Howard.xlsx","","",42.2970211,-83.6660543,"Low","Mia Howard, Alex Cooper","The paper data sheet is two images because there were so many 20 mm galls"
