Year,Season,Site,Diam,Occupant,Note,N,survival,GIG,OBT,MC,ELD,BP
2024,Spring,ANS,8,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,10,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,11,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,12,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,13,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,13,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,14,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,15,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,15,CK,NA,1,0,0,0,0,0,1
2024,Spring,ANS,15,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,15,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,16,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,16,WP,NA,1,0,0,0,0,0,1
2024,Spring,ANS,16,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,16,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,16,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,16,ELD,NA,1,0,0,0,0,1,0
2024,Spring,ANS,17,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,17,EU,NA,1,1,0,0,0,0,0
2024,Spring,ANS,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,17,GIG,NA,1,0,1,0,0,0,0
2024,Spring,ANS,17,GIG,NA,1,0,1,0,0,0,0
